k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,2080503.8876731994,0.8164624340237697,21567.00014445492,1.1520642132995258
3,1889528.2280083108,0.1450244994649071,18653.168984005268,1.8962115234562178
4,1737254.7090194281,0.16350026977320592,17445.200128886067,1.6573385448973164
5,1635407.7801205865,0.14244927324569834,15987.27766579588,1.8156629874743822
6,1505866.2547641825,0.1313809179011227,16198.165081713429,1.6740682534370785
7,1371845.1857525855,0.14221952109499106,17001.500801041155,1.5009629257610322
