id_anotacion,id_candidato,t_inicio,t_fin,categoria,notas,n_lecturas,monotonicity,r2_lineal,zcr,sim_alimentacion,sim_servido,d1_mean,d1_std,d1_max,d1_min,d1_energy,d1_rms,d2_mean,d2_std,d2_max,d2_min,d2_energy,d2_rms,d3_mean,d3_std,d3_max,d3_min,d3_energy,d3_rms,d1_n_sign_changes,d2_n_sign_changes,d1_frac_pos,d1_frac_neg,curvature_mean,curvature_max,curvature_min,curvature_std,curvature_integral,arc_length,arc_length_per_min,arc_vs_displacement,arc_per_n,tortuosity,straightness,energy_signal,energy_d1,energy_d2,rms_signal,rms_d1,energy_ratio_d1_signal,entropy_shannon,entropy_permutation,entropy_sample,fractal_higuchi,fractal_katz,lempel_ziv,freq_dominant_hz,freq_centroid_hz,power_ratio_low,autocorr_lag1,autocorr_lag3,autocorr_lag5,spectral_entropy,stat_median,stat_mad,stat_iqr,stat_skewness,stat_kurtosis,stat_trimmed_mean,stat_cv,n_maxima,n_minima,n_plateaus,peak_prominence_mean,peak_width_mean,peak_density,peak_height_max,valley_depth_min,tpl_ramp_down,tpl_exp_decay,tpl_alim_lenta,tpl_alim_escalonada,tpl_ramp_up,tpl_exp_rise,tpl_sigmoide,tpl_serv_brusco,tpl_plateau,tpl_triangular,tpl_parabola_down,tpl_doble_rampa,time_to_max_s,time_to_min_s,time_to_25pct_s,time_to_50pct_s,time_to_75pct_s,rise_time_s,fall_time_s,settling_time_s,overshoot_g,undershoot_g,initial_slope_g_min,final_slope_g_min,idx_arc_per_delta,idx_energy_per_min,idx_complexity,idx_linearity,idx_template_max,idx_shape_noise
131,177,2026-05-27 13:43:00+00:00,2026-05-27 13:50:00+00:00,alimentacion,,15,-0.2143,0.6899,0.7857,0.6533,-0.6533,-0.0167,0.0982,0.2333,-0.2,0.1389,0.0996,-0.0,0.0057,0.0078,-0.0111,0.0004,0.0057,-0.0,0.0004,0.0006,-0.0006,0.0,0.0004,11,11,0.1429,0.3571,0.001162,0.003889,0.0,0.001048,0.4479,422.065,60.295,60.295,28.138,1.0048,0.9952,507001.0,0.1389,0.0004,183.848,0.0996,0.0,2.3329,0.8139,1.0986,0.6396,0.6673,2.3441,0.002222,0.00394,0.8809,0.7471,0.4136,-0.0794,1.3156,185.0,4.0,6.0,0.2322,-1.0355,183.615,0.0228,1,1,0,7.0,1.333,0.143,192.0,183.0,0.6533,0.4996,0.5141,0.6452,-0.6533,-0.4996,-0.7101,-0.3861,0.0,0.1245,0.1316,0.8021,60.0,390.0,210.0,210.0,270.0,390.0,390.0,390.0,7.0,7.0,7.0,-2.0,60.295,0.0198,0.7027,0.1478,0.8021,1.4993
132,179,2026-05-27 19:49:00+00:00,2026-05-27 19:57:00+00:00,alimentacion,,17,-0.25,0.811,0.5625,0.9613,-0.9613,-0.0688,0.1945,0.2,-0.6333,0.6811,0.2063,-0.0006,0.0098,0.0211,-0.0211,0.0014,0.0098,-0.0,0.0006,0.0014,-0.0008,0.0,0.0006,9,12,0.25,0.5,0.00303,0.006111,0.0,0.001759,1.4753,489.666,61.208,14.838,28.804,1.0177,0.9826,443314.0,0.6811,0.0014,161.485,0.2063,2e-06,2.5366,0.9245,21.8219,0.5272,0.8,2.164,0.001961,0.004128,0.8441,0.798,0.4777,-0.0216,1.7951,157.0,6.0,23.0,0.4384,-1.1747,161.067,0.0728,2,2,0,7.0,0.716,0.25,162.0,147.0,0.9613,0.9344,0.9331,0.956,-0.9613,-0.9344,-0.9613,-0.8787,0.0,0.7196,0.7313,0.9215,60.0,480.0,300.0,150.0,360.0,390.0,390.0,480.0,3.0,33.0,3.0,-10.0,14.8384,0.0851,11.5045,0.2028,0.9613,1.1409
133,181,2026-05-28 05:01:00+00:00,2026-05-28 05:11:00+00:00,alimentacion,,21,-0.05,0.1364,0.05,0.8765,-0.8765,-0.0067,0.0291,0.0,-0.1333,0.0178,0.0298,0.0002,0.001,0.0044,0.0,0.0,0.001,-0.0,0.0,0.0,-0.0001,0.0,0.0,1,1,0.0,0.05,0.000261,0.002207,0.0,0.000668,0.132,600.265,60.027,150.066,28.584,1.0004,0.9996,323904.0,0.0178,0.0,124.193,0.0298,0.0,0.2762,0.1151,0.1178,1.0982,1.0,1.4641,0.001587,0.00873,0.5,-0.0025,-0.0083,-0.0156,3.3219,124.0,0.0,0.0,4.2485,16.05,124.0,0.0069,0,0,1,0.0,0.0,0.0,128.0,124.0,0.8765,0.9479,0.9515,0.8646,-0.8765,-0.9479,-0.8341,-0.9625,0.0,0.8639,0.9106,0.711,0.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,0.0,4.0,-2.4,-0.0,150.0662,0.0018,0.1294,0.0068,0.9625,1.6079
134,183,2026-05-28 11:37:00+00:00,2026-05-28 11:48:00+00:00,ruido,,23,-0.0909,0.3524,0.0909,0.9093,-0.9093,-0.0833,0.3607,0.0,-1.7333,3.0144,0.3702,-0.0,0.0173,0.0544,-0.0578,0.0063,0.0173,0.0,0.001,0.0037,-0.0019,0.0,0.001,2,3,0.0,0.0909,0.00185,0.015221,0.0,0.004351,1.2763,690.183,62.744,12.549,30.008,1.0421,0.9596,86043.0,3.0144,0.0063,61.164,0.3702,3.5e-05,0.5586,0.3165,0.1243,0.3126,1.0,1.5734,0.001449,0.004236,0.9141,0.7101,-0.0025,-0.0434,2.5734,51.0,0.0,0.0,2.19,2.8048,54.053,0.317,0,0,1,0.0,0.0,0.0,106.0,51.0,0.9093,0.971,0.9646,0.9105,-0.9093,-0.971,-0.8718,-0.9882,0.0,0.8851,0.9233,0.764,0.0,120.0,0.0,90.0,90.0,90.0,90.0,120.0,0.0,55.0,-31.2,0.0,12.5488,0.274,0.0389,0.032,0.9882,0.4918
135,185,2026-05-28 13:28:00+00:00,2026-05-28 13:30:00+00:00,servido,,5,0.25,0.75,0.5,-0.9037,0.9037,0.4583,0.7939,1.8333,0.0,3.3611,0.9167,0.0,0.0499,0.0611,-0.0611,0.0075,0.0499,-0.001,0.0031,0.002,-0.0041,0.0,0.0032,2,2,0.25,0.0,0.011615,0.030556,0.0,0.010653,1.2839,152.65,76.325,2.775,30.53,1.1564,0.8647,70910.0,3.3611,0.0075,119.088,0.9167,4.7e-05,0.971,-0.0,0.0,1.0,1.0,1.8575,0.006667,0.007515,0.8727,0.4583,-1.0,0.0,0.55,94.0,0.0,55.0,0.4082,-1.8333,112.333,0.2323,0,0,0,0.0,0.0,0.0,149.0,94.0,-0.9037,-0.8113,-0.8345,-0.9037,0.9037,0.8113,0.9263,0.7071,0.0,-0.2887,-0.3638,-0.9449,90.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,-0.0,-0.0,2.7755,1.6805,0.0,0.1875,0.9449,1.8575
136,187,2026-05-28 14:44:00+00:00,2026-05-28 14:55:00+00:00,ruido,,23,0.0,0.0822,0.1818,-0.4714,0.4714,0.0015,0.0555,0.2,-0.1667,0.0678,0.0555,0.0,0.0027,0.0067,-0.0067,0.0002,0.0027,-0.0,0.0001,0.0004,-0.0004,0.0,0.0001,4,3,0.0455,0.0455,0.000599,0.003333,0.0,0.001095,0.3632,661.008,60.092,661.008,28.739,1.0015,0.9985,499411.0,0.0678,0.0002,147.355,0.0555,0.0,0.8405,0.2124,0.1252,1.0013,0.838,1.7701,0.005797,0.005985,0.7334,0.377,-0.1659,-0.0157,3.0338,147.0,0.0,0.0,2.7178,5.9603,147.0,0.0099,1,0,1,5.0,0.958,0.091,152.0,146.0,-0.4714,-0.548,-0.5646,-0.4725,0.4714,0.548,0.4258,0.5723,0.0,-0.5092,-0.5653,-0.3572,60.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,5.0,0.0,4.8,0.0,661.008,0.0062,0.1254,0.0,0.5723,1.7724
137,189,2026-05-28 23:41:00+00:00,2026-05-28 23:48:00+00:00,alimentacion,,15,-0.2143,0.0001,0.7857,-0.639,0.639,-0.0119,0.178,0.4333,-0.3333,0.4456,0.1784,-0.0009,0.009,0.0144,-0.0178,0.0011,0.009,-0.0,0.0005,0.0007,-0.0011,0.0,0.0005,11,11,0.1429,0.3571,0.002565,0.005332,0.0,0.001621,1.0832,426.494,60.928,85.299,28.433,1.0154,0.9848,343667.0,0.4456,0.0011,151.364,0.1784,1e-06,2.2062,0.8139,0.9163,0.8226,0.6782,2.0837,0.002222,0.004888,0.7927,0.3854,-0.0862,-0.1421,1.8785,150.0,5.0,7.5,-0.4373,-0.8826,151.615,0.0359,2,1,0,13.0,1.928,0.286,158.0,150.0,-0.639,-0.7673,-0.7386,-0.6283,0.639,0.7673,0.6118,0.8198,0.0,-0.9176,-0.9253,-0.4057,90.0,420.0,0.0,0.0,420.0,420.0,420.0,420.0,13.0,5.0,0.0,-10.0,85.2988,0.0637,0.7537,0.0,0.9253,1.7141
138,191,2026-05-29 02:01:00+00:00,2026-05-29 02:05:00+00:00,ruido,,9,0.0,0.0187,0.375,-0.7132,0.7132,0.0083,0.052,0.1333,-0.0667,0.0222,0.0527,-0.0006,0.002,0.0022,-0.0044,0.0,0.0021,0.0,0.0001,0.0001,-0.0001,0.0,0.0001,3,4,0.125,0.125,0.000856,0.002207,0.0,0.000861,0.1986,240.332,60.083,120.166,26.704,1.0013,0.9987,182628.0,0.0222,0.0,142.45,0.0527,0.0,1.3516,0.4444,1.3863,1.0,0.8442,2.1133,0.003704,0.007572,0.7425,0.0898,-0.5781,-0.1563,1.766,142.0,0.0,2.0,-0.2099,-0.6211,142.571,0.0088,1,0,1,2.0,1.375,0.25,144.0,140.0,-0.7132,-0.8295,-0.8267,-0.6931,0.7132,0.8295,0.6511,0.9008,0.0,-0.8044,-0.8661,-0.4906,30.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,2.0,0.0,8.0,-0.0,120.166,0.0056,1.3863,0.0,0.9008,2.1133
139,193,2026-05-29 03:40:00+00:00,2026-05-29 03:47:00+00:00,alimentacion,,15,-0.2143,0.1782,0.7143,-0.2929,0.2929,-0.0095,0.1294,0.4,-0.1667,0.2356,0.1297,0.0,0.0063,0.0133,-0.0133,0.0005,0.0063,0.0,0.0004,0.0004,-0.0009,0.0,0.0004,10,12,0.0714,0.2857,0.001582,0.004722,0.0,0.001429,0.6703,423.438,60.491,105.859,28.229,1.0081,0.9919,288282.0,0.2356,0.0005,138.632,0.1297,1e-06,2.5559,0.6099,1.9459,0.3215,0.7617,2.0837,0.002222,0.00357,0.8865,0.7037,0.0047,-0.3388,1.3005,136.0,3.0,7.0,0.4054,-0.9684,138.462,0.0377,1,0,0,12.0,2.417,0.143,147.0,131.0,-0.2929,-0.4779,-0.444,-0.2724,0.2929,0.4779,0.227,0.5938,0.0,-0.7648,-0.7679,0.0024,90.0,390.0,0.0,0.0,390.0,390.0,390.0,390.0,12.0,4.0,-0.0,-5.0,105.8595,0.0337,0.6256,0.0382,0.7679,0.6699
140,195,2026-05-29 09:40:00+00:00,2026-05-29 09:47:00+00:00,alimentacion,,15,-0.2143,0.1507,0.7143,-0.3099,0.3099,-0.0095,0.1734,0.3,-0.3667,0.4222,0.1737,-0.0002,0.0095,0.0122,-0.02,0.0012,0.0095,-0.0,0.0006,0.0011,-0.0009,0.0,0.0006,10,10,0.2143,0.4286,0.002618,0.004992,0.0,0.001542,1.0868,426.206,60.887,106.552,28.414,1.0147,0.9855,242227.0,0.4222,0.0012,127.077,0.1737,2e-06,2.7899,0.9329,21.4164,1.082,0.6355,2.0837,0.002222,0.006375,0.7149,0.2679,-0.1755,0.2003,2.3486,127.0,4.0,7.5,0.1956,-1.2049,126.923,0.0347,3,2,0,8.0,0.939,0.429,135.0,122.0,-0.3099,-0.4632,-0.4445,-0.3062,0.3099,0.4632,0.2533,0.5477,0.0,-0.6687,-0.6809,-0.0774,210.0,420.0,0.0,300.0,300.0,420.0,420.0,420.0,11.0,4.0,8.0,-7.0,106.5515,0.0603,23.1725,0.0323,0.6809,2.2546
141,197,2026-05-30 00:41:00+00:00,2026-05-30 00:48:00+00:00,servido,,15,0.2143,0.2997,0.4286,-0.8961,0.8961,0.1548,0.454,1.4667,-0.4333,3.2211,0.4797,0.0,0.0173,0.0489,-0.0233,0.0039,0.0173,-0.0001,0.0008,0.001,-0.0023,0.0,0.0008,6,5,0.3571,0.1429,0.005085,0.024444,0.0,0.006474,1.9218,457.386,65.341,7.037,30.492,1.0762,0.9292,360482.0,3.2211,0.0039,155.023,0.4797,9e-06,1.7056,0.4635,0.6931,0.4548,0.9191,2.0837,0.002222,0.004485,0.8972,0.6908,-0.1139,-0.227,1.9754,159.0,8.0,9.5,-1.7424,1.5656,156.154,0.1604,1,0,1,13.0,2.708,0.143,172.0,94.0,-0.8961,-0.9677,-0.9575,-0.891,0.8961,0.9677,0.8579,0.9913,0.0,-0.9048,-0.9343,-0.7159,240.0,0.0,0.0,60.0,60.0,270.0,270.0,270.0,13.0,0.0,44.0,0.0,7.0367,0.4602,0.3152,0.0642,0.9913,0.9477
142,199,2026-05-30 04:02:00+00:00,2026-05-30 04:19:00+00:00,ruido,,35,0.1471,0.1218,0.3235,-0.8679,0.8679,0.0167,0.0837,0.2667,-0.2333,0.2478,0.0854,0.0,0.0037,0.0078,-0.01,0.0005,0.0037,-0.0,0.0002,0.0005,-0.0004,0.0,0.0002,11,11,0.2059,0.0588,0.000769,0.003332,0.0,0.000982,0.7907,1023.676,60.216,60.216,29.248,1.0035,0.9965,970418.0,0.2478,0.0005,166.512,0.0854,0.0,1.9663,0.253,0.1243,0.2821,0.8949,1.7586,0.001905,0.002738,0.933,0.8351,0.4257,-0.0109,2.4557,167.0,0.0,1.5,-1.268,1.5768,167.138,0.0367,2,1,1,6.0,0.994,0.118,177.0,172.0,-0.8679,-0.9474,-0.9399,-0.8624,0.8679,0.9474,0.8193,0.9787,0.0,-0.8953,-0.9366,-0.6951,270.0,0.0,60.0,90.0,150.0,390.0,390.0,450.0,10.0,0.0,6.429,-0.0,60.2162,0.0146,0.0351,0.0179,0.9787,0.4961
143,201,2026-05-30 09:11:00+00:00,2026-05-30 09:19:00+00:00,alimentacion,,17,-0.25,0.608,0.625,0.6023,-0.6023,-0.0312,0.1766,0.3333,-0.3667,0.5144,0.1793,-0.0,0.0097,0.0233,-0.0189,0.0014,0.0097,-0.0,0.0006,0.001,-0.0014,0.0,0.0006,10,9,0.125,0.375,0.00245,0.006898,0.0,0.001992,1.0996,487.535,60.942,32.502,28.679,1.0152,0.985,448557.0,0.5144,0.0014,162.437,0.1793,1e-06,2.6543,0.8314,0.6931,0.7448,0.6856,2.164,0.001961,0.004729,0.8322,0.629,0.2064,0.0115,2.1076,162.0,2.0,4.0,-0.1736,-0.0795,162.4,0.0419,2,0,1,10.0,0.951,0.25,174.0,149.0,0.6023,0.4526,0.4681,0.604,-0.6023,-0.4526,-0.6333,-0.3387,0.0,0.082,0.0732,0.7268,60.0,450.0,360.0,420.0,450.0,240.0,240.0,450.0,10.0,15.0,10.0,-8.0,32.5023,0.0643,0.5162,0.152,0.7268,1.6117
144,203,2026-05-30 11:19:00+00:00,2026-05-30 11:33:00+00:00,ruido,,29,-0.0357,0.0788,0.25,-0.0017,0.0017,-0.0,1.0606,3.9667,-3.9667,31.4956,1.0606,0.0,0.0623,0.2644,-0.1322,0.1049,0.0623,0.0002,0.0038,0.0132,-0.0132,0.0004,0.0038,7,10,0.0714,0.1071,0.005967,0.066111,0.0,0.01743,4.1994,1025.845,73.275,1025845209.27,35.374,1.2212,0.8188,618349.0,31.4956,0.1049,146.022,1.0606,5.1e-05,0.2164,0.4051,0.1704,1.3875,0.8226,1.5076,0.001149,0.008537,0.505,-0.0265,0.0016,-0.0013,3.8034,148.0,0.0,0.0,-5.0754,23.8612,148.24,0.1513,0,1,2,0.0,0.0,0.0,152.0,29.0,-0.0017,0.0234,0.0451,-0.025,0.0017,-0.0234,0.0183,-0.0274,0.0,0.02,0.0412,-0.0219,510.0,60.0,840.0,840.0,840.0,0.0,0.0,630.0,4.0,119.0,-0.0,-0.0,1025.845,2.2497,0.2364,0.0028,0.0451,2.0918
145,205,2026-05-30 16:25:00+00:00,2026-05-30 16:29:00+00:00,alimentacion,,9,-0.25,0.7137,0.625,0.8279,-0.8279,-0.0292,0.0735,0.1,-0.1333,0.05,0.0791,0.0,0.0042,0.0044,-0.0078,0.0001,0.0042,0.0,0.0003,0.0004,-0.0004,0.0,0.0003,5,5,0.125,0.375,0.001201,0.002222,0.000276,0.000729,0.2659,240.747,60.187,34.392,26.75,1.0027,0.9973,159554.0,0.05,0.0001,133.147,0.0791,0.0,2.1972,0.7544,20.7233,1.0,0.7802,2.1133,0.003704,0.005643,0.8849,0.6415,-0.0409,-0.7756,1.317,134.0,1.0,3.0,-0.5037,-0.6575,133.143,0.0233,0,0,0,0.0,0.0,0.0,138.0,128.0,0.8279,0.6984,0.7241,0.8483,-0.8279,-0.6984,-0.8476,-0.5788,0.0,0.2349,0.2635,0.9271,60.0,210.0,90.0,180.0,210.0,120.0,120.0,210.0,3.0,7.0,-0.0,-0.0,34.3924,0.0125,20.7233,0.1784,0.9271,2.1133
146,207,2026-05-30 22:10:00+00:00,2026-05-30 22:22:00+00:00,ruido,,25,0.0,0.0649,0.125,0.0429,-0.0429,0.0,1.097,3.8,-3.8,28.88,1.097,0.0,0.0647,0.2533,-0.1267,0.0963,0.0647,0.0,0.004,0.0127,-0.0127,0.0004,0.004,3,4,0.0417,0.0417,0.005067,0.063333,0.0,0.014663,3.8,895.763,74.647,895762592.453,35.831,1.2441,0.8038,311904.0,28.88,0.0963,111.697,1.097,9.3e-05,0.2423,0.1985,0.2054,1.4663,0.8228,1.6718,0.001333,0.008667,0.5,-0.0451,-0.053,-0.0104,3.585,114.0,0.0,0.0,-4.6949,20.0417,114.0,0.2041,0,1,1,0.0,0.0,0.0,114.0,0.0,0.0429,0.0859,0.1,0.0,-0.0429,-0.0859,-0.0173,-0.0962,0.0,0.0882,0.1223,0.0,0.0,90.0,720.0,720.0,720.0,0.0,0.0,120.0,0.0,114.0,-22.8,-0.0,895.763,2.4067,0.3012,0.0,0.1223,2.4514
147,209,2026-05-31 07:47:00+00:00,2026-05-31 07:53:00+00:00,alimentacion,,13,-0.1667,0.6567,0.6667,0.8015,-0.8015,-0.0694,0.2057,0.3333,-0.4667,0.5656,0.2171,-0.0,0.0116,0.0156,-0.0267,0.0015,0.0116,0.0,0.0007,0.0014,-0.0014,0.0,0.0007,8,7,0.25,0.4167,0.00243,0.005519,0.0,0.001806,0.8895,368.226,61.371,14.729,28.325,1.0204,0.98,118657.0,0.5656,0.0015,95.538,0.2171,5e-06,2.7774,0.8632,20.7233,0.6647,0.7568,2.2772,0.002564,0.004657,0.8985,0.7149,0.2089,-0.1159,1.5944,99.0,3.0,9.0,-0.781,-0.4837,95.364,0.1066,0,0,0,0.0,0.0,0.0,110.0,76.0,0.8015,0.6675,0.6972,0.7864,-0.8015,-0.6675,-0.8168,-0.5659,0.0,0.197,0.2415,0.9109,150.0,330.0,180.0,270.0,300.0,90.0,90.0,330.0,9.0,25.0,-0.0,-0.0,14.729,0.0943,13.7748,0.1095,0.9109,1.5137
148,211,2026-05-31 08:34:00+00:00,2026-05-31 08:46:00+00:00,ruido,,25,0.0,0.2436,0.1667,0.1223,-0.1223,-0.0014,0.1204,0.4,-0.4333,0.3478,0.1204,0.0,0.0058,0.0144,-0.0144,0.0008,0.0058,-0.0,0.0003,0.001,-0.0009,0.0,0.0003,4,5,0.0417,0.0417,0.00121,0.006944,0.0,0.002113,0.8075,725.007,60.417,725.007,29.0,1.007,0.9931,155048.0,0.3478,0.0008,78.752,0.1204,2e-06,0.5294,0.1985,0.1243,0.6473,0.8143,1.486,0.001333,0.00414,0.9254,0.669,-0.0636,-0.0381,2.678,77.0,0.0,0.0,2.3206,3.4189,77.714,0.0535,1,0,1,12.0,1.481,0.083,90.0,77.0,0.1223,0.0606,0.0346,0.146,-0.1223,-0.0606,-0.1589,-0.0437,0.0,0.036,-0.0141,0.1654,60.0,150.0,0.0,0.0,150.0,150.0,150.0,150.0,12.0,1.0,7.2,-0.0,725.007,0.029,0.0805,0.0,0.1654,0.9619
149,213,2026-05-31 14:40:00+00:00,2026-05-31 14:42:00+00:00,servido,,5,0.25,0.8803,0.5,-0.9714,0.9714,0.6417,0.7178,1.5,-0.1333,3.7078,0.9628,-0.0015,0.039,0.05,-0.0444,0.0046,0.0391,-0.0016,0.0004,-0.0011,-0.002,0.0,0.0016,2,1,0.5,0.25,0.015181,0.025,0.000762,0.008517,1.5776,161.21,80.605,2.094,32.242,1.1307,0.8844,67435.0,3.7078,0.0046,116.134,0.9628,5.5e-05,1.5219,0.3552,0.0,1.0,0.9709,2.3219,0.006667,0.00695,0.9575,0.6213,-1.2426,0.0,0.2538,115.0,36.0,77.0,-0.0882,-1.748,110.667,0.3203,0,0,0,0.0,0.0,0.0,151.0,70.0,-0.9714,-0.9323,-0.9395,-0.9714,0.9714,0.9323,0.9894,0.8425,0.0,-0.5794,-0.6021,-0.9716,90.0,0.0,0.0,60.0,60.0,120.0,120.0,120.0,4.0,0.0,-0.0,-8.0,2.0936,1.8539,0.0,0.2201,0.9894,2.3219
150,215,2026-05-31 21:37:00+00:00,2026-05-31 21:49:00+00:00,alimentacion,,25,0.0417,0.0024,0.5417,-0.16,0.16,-0.0139,0.149,0.3667,-0.4667,0.5378,0.1497,0.0,0.0072,0.0156,-0.0156,0.0012,0.0072,0.0,0.0004,0.001,-0.0008,0.0,0.0004,13,14,0.2083,0.1667,0.002163,0.007778,0.0,0.002076,1.5057,727.794,60.649,72.779,29.112,1.0107,0.9894,539029.0,0.5378,0.0012,146.837,0.1497,1e-06,2.5427,0.4951,0.5465,0.6526,0.6562,2.0433,0.004,0.005147,0.8574,0.4898,-0.0588,-0.1503,2.8303,146.0,2.0,6.0,-0.3136,0.1303,147.0,0.0324,2,2,1,9.5,2.03,0.167,155.0,144.0,-0.16,-0.192,-0.1763,-0.1567,0.16,0.192,0.2014,0.1729,0.0,-0.3051,-0.3004,-0.1266,360.0,690.0,150.0,150.0,690.0,270.0,270.0,690.0,9.0,10.0,1.2,-8.4,72.7794,0.0448,0.3566,0.0001,0.3051,1.3335
151,217,2026-06-01 08:26:00+00:00,2026-06-01 08:39:00+00:00,ruido,,27,-0.0769,0.399,0.1538,0.4147,-0.4147,-0.0038,0.0931,0.3667,-0.2667,0.2256,0.0931,0.0,0.0041,0.0122,-0.0122,0.0004,0.0041,-0.0,0.0002,0.0005,-0.0008,0.0,0.0002,4,7,0.0385,0.1154,0.00094,0.006111,0.0,0.001577,0.6701,783.301,60.254,261.1,29.011,1.0042,0.9958,446327.0,0.2256,0.0004,128.571,0.0931,1e-06,1.3033,0.3382,0.1243,0.3132,0.8006,1.4089,0.001235,0.002643,0.9569,0.8644,0.387,-0.0411,1.9768,126.0,0.0,1.5,1.6856,1.1341,127.696,0.0374,1,0,1,11.0,2.167,0.077,140.0,126.0,0.4147,0.3512,0.3248,0.4162,-0.4147,-0.3512,-0.453,-0.3327,0.0,0.2854,0.2348,0.4322,60.0,210.0,0.0,0.0,210.0,210.0,210.0,210.0,11.0,3.0,6.6,-0.0,261.1003,0.0174,0.0389,0.0307,0.453,0.4413
152,219,2026-06-01 09:50:00+00:00,2026-06-01 09:58:00+00:00,alimentacion,,17,-0.0625,0.1985,0.75,-0.3492,0.3492,-0.0125,0.0927,0.1667,-0.2,0.14,0.0935,-0.0,0.0041,0.0067,-0.0044,0.0003,0.0041,0.0,0.0002,0.0003,-0.0003,0.0,0.0002,12,9,0.25,0.3125,0.001576,0.003333,0.000278,0.001004,0.7121,482.088,60.261,80.348,28.358,1.0043,0.9957,285018.0,0.14,0.0003,129.483,0.0935,0.0,1.8654,0.7824,1.0986,0.7085,0.6715,2.164,0.001961,0.003409,0.9057,0.6775,0.0868,-0.1547,1.5397,130.0,3.0,7.0,-1.0466,0.0822,129.733,0.0331,3,1,0,4.333,1.672,0.375,134.0,130.0,-0.3492,-0.5354,-0.5032,-0.3265,0.3492,0.5354,0.307,0.636,0.0,-0.8284,-0.8449,-0.1063,90.0,450.0,0.0,0.0,450.0,450.0,450.0,450.0,8.0,6.0,5.0,-6.0,80.348,0.0175,0.7784,0.0124,0.8449,1.5332
153,221,2026-06-01 14:44:00+00:00,2026-06-01 14:53:00+00:00,alimentacion,,19,-0.1111,0.4715,0.8333,0.2587,-0.2587,-0.0222,0.1491,0.3,-0.2667,0.4089,0.1507,0.0,0.0081,0.0122,-0.0167,0.0011,0.0081,-0.0,0.0005,0.0008,-0.0009,0.0,0.0005,15,10,0.2778,0.3889,0.002275,0.005276,0.000274,0.001567,1.1552,546.057,60.673,45.505,28.74,1.011,0.9892,324820.0,0.4089,0.0011,130.751,0.1507,1e-06,2.8398,0.8536,20.7233,0.9141,0.642,2.2358,0.001754,0.004526,0.8398,0.5852,0.3352,0.1296,2.2499,132.0,3.0,6.5,-0.8722,0.2963,130.882,0.0427,4,2,0,5.0,0.74,0.444,139.0,127.0,0.2587,0.0652,0.0944,0.2946,-0.2587,-0.0652,-0.3046,0.0503,0.0,-0.36,-0.3476,0.4884,60.0,510.0,390.0,480.0,510.0,210.0,210.0,510.0,9.0,12.0,9.0,-8.0,45.5048,0.0454,18.9432,0.0524,0.4884,2.0437
154,223,2026-06-01 16:13:00+00:00,2026-06-01 16:25:00+00:00,ruido,,25,-0.0833,0.5243,0.25,0.8267,-0.8267,-0.0069,0.0608,0.2,-0.1667,0.09,0.0612,0.0,0.0026,0.0067,-0.0067,0.0002,0.0026,-0.0,0.0001,0.0002,-0.0004,0.0,0.0001,6,6,0.0417,0.125,0.000728,0.004124,0.0,0.001189,0.4958,721.34,60.112,144.268,28.854,1.0018,0.9982,389080.0,0.09,0.0002,124.753,0.0612,0.0,1.6753,0.4202,0.1738,0.5404,0.7555,1.8575,0.002667,0.003475,0.945,0.8016,0.2181,-0.016,2.3571,124.0,0.0,0.0,1.8805,2.9721,124.19,0.0228,1,0,2,6.0,1.05,0.083,133.0,122.0,0.8267,0.8014,0.7893,0.8462,-0.8267,-0.8014,-0.8224,-0.7853,0.0,0.6254,0.6348,0.7764,60.0,600.0,0.0,150.0,150.0,600.0,600.0,600.0,6.0,5.0,1.6,-0.0,144.268,0.0075,0.0939,0.0437,0.8462,1.0038
155,225,2026-06-01 17:02:00+00:00,2026-06-01 17:09:00+00:00,alimentacion,,15,-0.0714,0.0555,0.5714,-0.4348,0.4348,-0.0,0.1189,0.2333,-0.2,0.1978,0.1189,0.0003,0.0058,0.0111,-0.0089,0.0004,0.0058,0.0,0.0003,0.0005,-0.0007,0.0,0.0003,8,9,0.2857,0.3571,0.001943,0.003882,0.0,0.00109,0.8255,422.944,60.421,422943639.807,28.196,1.007,0.993,237197.0,0.1978,0.0004,125.75,0.1189,1e-06,2.7899,0.8285,21.4164,0.5814,0.686,2.0837,0.002222,0.003533,0.8428,0.7233,0.0872,-0.6195,0.9059,124.0,4.0,7.0,0.1071,-1.2258,125.692,0.0365,2,1,0,7.5,1.658,0.286,133.0,118.0,-0.4348,-0.5978,-0.561,-0.4271,0.4348,0.5978,0.3875,0.6796,0.0,-0.8884,-0.8452,-0.1589,180.0,390.0,420.0,420.0,420.0,0.0,0.0,420.0,11.0,4.0,0.0,2.0,422.944,0.0283,12.4515,0.004,0.8884,1.2115
