id_anotacion,id_candidato,t_inicio,t_fin,categoria,notas,n_lecturas,monotonicity,r2_lineal,zcr,sim_alimentacion,sim_servido,d1_mean,d1_std,d1_max,d1_min,d1_energy,d1_rms,d2_mean,d2_std,d2_max,d2_min,d2_energy,d2_rms,d3_mean,d3_std,d3_max,d3_min,d3_energy,d3_rms,d1_n_sign_changes,d2_n_sign_changes,d1_frac_pos,d1_frac_neg,curvature_mean,curvature_max,curvature_min,curvature_std,curvature_integral,arc_length,arc_length_per_min,arc_vs_displacement,arc_per_n,tortuosity,straightness,energy_signal,energy_d1,energy_d2,rms_signal,rms_d1,energy_ratio_d1_signal,entropy_shannon,entropy_permutation,entropy_sample,fractal_higuchi,fractal_katz,lempel_ziv,freq_dominant_hz,freq_centroid_hz,power_ratio_low,autocorr_lag1,autocorr_lag3,autocorr_lag5,spectral_entropy,stat_median,stat_mad,stat_iqr,stat_skewness,stat_kurtosis,stat_trimmed_mean,stat_cv,n_maxima,n_minima,n_plateaus,peak_prominence_mean,peak_width_mean,peak_density,peak_height_max,valley_depth_min,tpl_ramp_down,tpl_exp_decay,tpl_alim_lenta,tpl_alim_escalonada,tpl_ramp_up,tpl_exp_rise,tpl_sigmoide,tpl_serv_brusco,tpl_plateau,tpl_triangular,tpl_parabola_down,tpl_doble_rampa,time_to_max_s,time_to_min_s,time_to_25pct_s,time_to_50pct_s,time_to_75pct_s,rise_time_s,fall_time_s,settling_time_s,overshoot_g,undershoot_g,initial_slope_g_min,final_slope_g_min,idx_arc_per_delta,idx_energy_per_min,idx_complexity,idx_linearity,idx_template_max,idx_shape_noise
11,20,2026-04-10 21:12:00+00:00,2026-04-10 21:18:00+00:00,alimentacion,,13,-0.4167,0.9074,0.5,0.9755,-0.9755,-0.0528,0.0928,0.1333,-0.2333,0.1367,0.1067,-0.0003,0.0046,0.0056,-0.0122,0.0002,0.0046,-0.0,0.0003,0.0005,-0.0006,0.0,0.0003,6,6,0.0833,0.5,0.001591,0.004428,0.000524,0.001092,0.5624,362.033,60.339,19.054,27.849,1.0042,0.9958,288603.0,0.1367,0.0002,148.997,0.1067,0.0,2.7774,0.7663,1.0986,0.4205,0.8795,2.2772,0.002564,0.004678,0.8934,0.7993,0.2696,-0.0281,1.6207,149.0,6.0,11.0,0.1446,-0.9549,148.727,0.0451,0,0,0,0.0,0.0,0.0,161.0,138.0,0.9755,0.9282,0.9335,0.9616,-0.9755,-0.9282,-0.9765,-0.8676,0.0,0.6325,0.6629,0.9524,60.0,360.0,90.0,240.0,270.0,210.0,210.0,360.0,4.0,19.0,0.0,-6.0,19.0544,0.0228,0.462,0.3781,0.9765,0.9576
12,22,2026-04-11 07:27:00+00:00,2026-04-11 07:38:00+00:00,ruido,,23,-0.0455,0.213,0.1364,0.8696,-0.8696,-0.0061,0.0783,0.2333,-0.2667,0.1356,0.0785,0.0002,0.0048,0.0111,-0.0167,0.0005,0.0048,-0.0,0.0003,0.0009,-0.0009,0.0,0.0003,3,3,0.0455,0.0909,0.000551,0.005473,0.0,0.001335,0.2982,662.004,60.182,165.501,28.783,1.003,0.997,1149646.0,0.1356,0.0005,223.572,0.0785,0.0,0.7654,0.3165,0.1178,1.2284,0.6758,1.5734,0.001449,0.008031,0.5491,0.0936,-0.015,-0.0277,3.1902,223.0,0.0,0.0,3.3988,10.5537,223.053,0.008,0,0,1,0.0,0.0,0.0,231.0,223.0,0.8696,0.925,0.9188,0.8756,-0.8696,-0.925,-0.8359,-0.9402,0.0,0.8423,0.8759,0.7339,60.0,90.0,0.0,30.0,30.0,90.0,90.0,90.0,4.0,4.0,-1.0,-0.0,165.501,0.0123,0.1447,0.0097,0.9402,1.9328
13,24,2026-04-11 18:02:00+00:00,2026-04-11 18:08:00+00:00,alimentacion,,13,-0.25,0.7324,0.6667,0.9157,-0.9157,-0.0278,0.1208,0.2333,-0.3333,0.1844,0.124,-0.0002,0.0072,0.0111,-0.0189,0.0006,0.0072,-0.0,0.0005,0.001,-0.0009,0.0,0.0005,8,9,0.0833,0.3333,0.001384,0.004705,0.000267,0.001337,0.4648,362.711,60.452,36.271,27.901,1.0071,0.9929,561026.0,0.1844,0.0006,207.74,0.124,0.0,2.4116,0.6084,1.3863,0.6652,0.7455,2.2772,0.002564,0.005369,0.8379,0.6256,0.2225,-0.0911,1.7259,207.0,3.0,5.0,1.0721,0.7144,207.182,0.0214,0,0,0,0.0,0.0,0.0,219.0,202.0,0.9157,0.8685,0.8679,0.9012,-0.9157,-0.8685,-0.9277,-0.8046,0.0,0.6193,0.6333,0.8973,60.0,360.0,90.0,150.0,240.0,240.0,240.0,360.0,7.0,10.0,-0.0,-4.0,36.2711,0.0307,0.9222,0.1831,0.9277,1.5148
14,26,2026-04-12 01:35:00+00:00,2026-04-12 01:39:00+00:00,alimentacion,,9,-0.25,0.6463,0.75,0.9044,-0.9044,-0.0458,0.1699,0.2333,-0.3,0.2478,0.176,-0.0006,0.0106,0.01,-0.0178,0.0008,0.0106,0.0001,0.0006,0.0009,-0.0009,0.0,0.0007,6,5,0.25,0.5,0.002717,0.006493,0.000271,0.002157,0.5612,243.657,60.914,22.151,27.073,1.0142,0.986,301976.0,0.2478,0.0008,183.174,0.176,1e-06,2.7255,0.7127,0.0,1.0,0.6667,2.1133,0.003704,0.007272,0.707,0.3596,0.1617,-0.0569,1.7293,184.0,4.0,7.0,0.3074,-0.9415,182.714,0.0263,0,1,0,0.0,0.0,0.0,192.0,179.0,0.9044,0.8736,0.8727,0.912,-0.9044,-0.8736,-0.8987,-0.8297,0.0,0.6296,0.629,0.8513,30.0,210.0,180.0,60.0,150.0,30.0,30.0,210.0,4.0,11.0,8.0,-0.0,22.1506,0.0619,0.0,0.1616,0.912,2.1133
15,28,2026-04-12 10:53:00+00:00,2026-04-12 11:04:00+00:00,ruido,,23,-0.0455,0.3658,0.1364,0.9051,-0.9051,-0.0076,0.0492,0.1,-0.2,0.0544,0.0497,0.0,0.0025,0.0044,-0.01,0.0001,0.0025,-0.0,0.0001,0.0005,-0.0004,0.0,0.0001,3,3,0.0455,0.0909,0.000373,0.003044,0.0,0.000803,0.2326,660.81,60.074,132.162,28.731,1.0012,0.9988,617725.0,0.0544,0.0001,163.883,0.0497,0.0,0.9274,0.3165,0.1252,0.644,0.7991,1.5734,0.001449,0.004217,0.9016,0.6983,0.0685,-0.048,2.5513,163.0,0.0,0.0,2.3402,4.2249,163.368,0.0128,0,0,1,0.0,0.0,0.0,171.0,163.0,0.9051,0.9586,0.9483,0.9076,-0.9051,-0.9586,-0.8725,-0.9731,0.0,0.8721,0.9036,0.7674,60.0,120.0,0.0,90.0,90.0,120.0,120.0,120.0,3.0,5.0,-1.2,0.0,132.162,0.0049,0.0806,0.0166,0.9731,1.0133
16,30,2026-04-12 14:19:00+00:00,2026-04-12 14:25:00+00:00,alimentacion,,13,-0.25,0.8634,0.6667,0.9416,-0.9416,-0.0361,0.1023,0.1333,-0.3,0.1411,0.1084,-0.0004,0.0052,0.01,-0.0122,0.0003,0.0053,0.0,0.0003,0.0007,-0.0004,0.0,0.0003,8,8,0.1667,0.4167,0.001307,0.004105,0.000275,0.001262,0.4769,362.085,60.348,27.853,27.853,1.0051,0.9949,227779.0,0.1411,0.0003,132.369,0.1084,1e-06,2.8731,0.7053,20.7233,0.4484,0.7968,2.2772,0.002564,0.003969,0.9535,0.8406,0.3377,-0.1364,1.3619,132.0,5.0,8.0,0.5586,-0.847,131.818,0.0457,1,0,0,6.0,0.792,0.167,144.0,125.0,0.9416,0.8852,0.8837,0.938,-0.9416,-0.8852,-0.9581,-0.8142,0.0,0.6128,0.6311,0.9346,60.0,330.0,90.0,150.0,240.0,240.0,240.0,330.0,6.0,13.0,8.0,-0.0,27.8527,0.0235,9.2923,0.2158,0.9581,1.0211
17,32,2026-04-12 21:26:00+00:00,2026-04-12 21:31:00+00:00,alimentacion,,11,-0.2,0.6621,0.7,0.8067,-0.8067,-0.04,0.1123,0.1667,-0.2333,0.1422,0.1193,-0.0006,0.0063,0.0078,-0.0133,0.0004,0.0063,-0.0,0.0004,0.0007,-0.0006,0.0,0.0004,7,6,0.2,0.4,0.001423,0.003328,0.0,0.001025,0.4296,302.115,60.423,25.176,27.465,1.0062,0.9938,164916.0,0.1422,0.0004,122.443,0.1193,1e-06,2.3685,0.7316,20.7233,1.0,0.7562,2.2015,0.00303,0.006018,0.7199,0.5293,0.2643,-0.3164,1.5674,123.0,2.0,5.5,-0.4966,-0.1299,122.556,0.0361,0,1,0,0.0,0.0,0.0,130.0,123.0,0.8067,0.6776,0.7046,0.8207,-0.8067,-0.6776,-0.8235,-0.559,0.0,0.2289,0.2559,0.9067,90.0,300.0,120.0,240.0,240.0,180.0,180.0,300.0,5.0,12.0,-0.0,-10.0,25.1762,0.0284,20.7233,0.1324,0.9067,2.2015
18,34,2026-04-13 10:23:00+00:00,2026-04-13 10:37:00+00:00,ruido,,29,0.0,0.446,0.3571,0.4096,-0.4096,-0.0048,0.1659,0.4667,-0.4333,0.7711,0.166,-0.0,0.009,0.0156,-0.0256,0.0022,0.009,-0.0,0.0005,0.0013,-0.0012,0.0,0.0005,10,9,0.1429,0.1429,0.001444,0.007778,0.0,0.002339,1.1397,851.151,60.797,212.788,29.35,1.0133,0.9869,299934.0,0.7711,0.0022,101.698,0.166,3e-06,1.6704,0.4538,0.1418,0.8712,0.7128,1.5076,0.001149,0.003567,0.8635,0.6928,0.5211,0.3627,2.4255,98.0,0.0,4.0,1.706,1.5345,100.52,0.0598,1,1,1,17.0,1.121,0.071,119.0,103.0,0.4096,0.3307,0.3079,0.4243,-0.4096,-0.3307,-0.457,-0.2733,0.0,0.2415,0.1901,0.4654,90.0,330.0,0.0,270.0,270.0,330.0,330.0,330.0,17.0,4.0,6.2,-0.0,212.7877,0.0551,0.1235,0.0,0.4654,1.3134
19,36,2026-04-13 12:20:00+00:00,2026-04-13 12:25:00+00:00,servido,,11,-0.4,0.4882,0.6,-0.9154,0.9154,0.25,0.907,2.9667,-0.1667,8.8522,0.9409,-0.0002,0.0472,0.0989,-0.1011,0.0201,0.0472,-0.0,0.0029,0.0034,-0.0067,0.0001,0.0029,6,8,0.1,0.5,0.005797,0.025513,0.0,0.009228,1.8965,364.683,72.937,4.862,33.153,1.1793,0.8479,287494.0,8.8522,0.0201,161.666,0.9409,3.1e-05,1.5726,0.8824,0.452,1.0,0.9426,2.2015,0.00303,0.005072,0.88,0.6631,-0.242,-0.3435,1.4762,175.0,10.0,47.0,-0.9747,-0.9823,160.778,0.2328,1,0,0,14.0,1.539,0.2,187.0,98.0,-0.9154,-0.9568,-0.9436,-0.9065,0.9154,0.9568,0.8977,0.9282,0.0,-0.8657,-0.8752,-0.8023,90.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0,14.0,0.0,-0.0,-4.0,4.8624,1.7704,0.452,0.1953,0.9568,2.2015
20,38,2026-04-13 13:26:00+00:00,2026-04-13 13:32:00+00:00,alimentacion,,13,-0.25,0.82,0.6667,0.9141,-0.9141,-0.0306,0.0726,0.1,-0.2,0.0744,0.0788,0.0,0.0036,0.0067,-0.0067,0.0001,0.0036,0.0,0.0002,0.0004,-0.0003,0.0,0.0002,8,9,0.0833,0.3333,0.000892,0.002491,0.0,0.000816,0.3312,361.11,60.185,32.828,27.778,1.0026,0.9974,361880.0,0.0744,0.0001,166.844,0.0788,0.0,2.5074,0.7225,21.4164,0.2597,0.8549,2.2772,0.002564,0.003694,0.8889,0.865,0.4961,-0.3421,0.9172,168.0,6.0,9.0,0.022,-1.4928,166.727,0.0299,1,0,0,3.0,0.875,0.167,174.0,160.0,0.9141,0.8225,0.8359,0.9211,-0.9141,-0.8225,-0.9444,-0.7173,0.0,0.4699,0.5015,0.9701,90.0,330.0,150.0,210.0,240.0,240.0,240.0,330.0,3.0,11.0,-0.0,-0.0,32.8282,0.0124,5.5618,0.205,0.9701,0.5914
