ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_if,score_if
2026-04-08 02:47:00+00:00,,,0.5,33.400000765,16.618,2.0,24.0,80.0,-28.0,-14.0,19.79898987322333,19.79898987322333,94.0,-2.799999999999997,0,0,-0.31316380648374953,0.949699126201877,0.7818314824680298,0.0,19.79898987322333,0.0,-0.7071067811865476,-28.00000000000001,1,-1,0.7161664652403698
2026-04-08 02:47:30+00:00,,,0.5,33.400000765,15.64,2.0,24.0,80.0,0.0,-9.333333333333334,16.165807537309522,16.165807537309522,89.33333333333333,0.0,0,0,-0.31316380648374953,0.949699126201877,0.7818314824680298,0.0,16.165807537309522,0.0,-0.5773502691896254,-14.0,1,-1,0.6924610295510407
2026-04-08 02:48:00+00:00,,,0.5,33.400000765,8.798,1.0,24.0,80.0,0.0,-7.0,13.999999999999998,13.999999999999998,87.0,0.0,0,0,-0.3090169943749468,0.9510565162951538,0.7818314824680298,0.0,13.999999999999998,0.0,-0.5000000000000001,-8.399999999999984,1,-1,0.6887022655503021
2026-04-08 02:48:30+00:00,,,0.5,33.299999619999994,16.618,2.0,24.0,80.0,0.0,-5.6,12.52198067399882,12.52198067399882,85.6,0.0,0,0,-0.3090169943749468,0.9510565162951538,0.7818314824680298,0.0,12.52198067399882,0.0,-0.44721359549995754,-5.600000000000004,1,-1,0.6859121335092958
2026-04-08 02:49:00+00:00,,,0.5,33.299999619999994,15.64,2.0,24.0,80.0,0.0,-4.666666666666667,0.0,11.430952132988162,80.0,0.0,1,30,-0.30486429902801127,0.9523957996432783,0.7818314824680298,0.0,11.430952132988162,30.0,-0.4082482904638635,-3.9999999999999996,1,-1,0.6112188488325064
2026-04-08 02:49:30+00:00,,,0.5,33.5,16.618,2.0,24.0,80.0,0.0,-4.0,0.0,10.58300524425836,80.0,0.0,1,60,-0.30486429902801127,0.9523957996432783,0.7818314824680298,0.0,10.58300524425836,60.0,-0.3779644730092273,-3.0000000000000093,1,-1,0.6058647301509136
2026-04-08 02:50:00+00:00,,,0.5,33.5,7.82,1.0,24.0,80.0,0.0,-3.5,0.0,9.899494936611662,80.0,0.0,1,90,-0.30070579950427384,0.9537169507482267,0.7818314824680298,0.0,9.899494936611662,90.0,-0.3535533905932739,-2.333333333333335,1,-1,0.6031568979931456
2026-04-08 02:50:30+00:00,,,0.5,33.5,8.798,1.0,24.0,80.0,0.0,-3.111111111111111,0.0,9.333333333333329,80.0,0.0,1,120,-0.30070579950427384,0.9537169507482267,0.7818314824680298,0.0,9.333333333333329,120.0,-0.3333333333333338,-1.866666666666665,1,-1,0.5991406912546747
2026-04-08 02:51:00+00:00,,,0.5,33.5,16.618,2.0,24.0,80.0,0.0,-2.8,0.0,8.854377448471457,80.0,0.0,1,150,-0.2965415749755711,0.9550199444571866,0.7818314824680298,0.0,8.854377448471457,150.0,-0.31622776601683783,-1.527272727272727,1,-1,0.5946711611633251
2026-04-08 02:53:30+00:00,,,0.5,33.400000765,16.618,2.0,23.899999809999997,78.0,-2.0,-0.2,0.8944271909998667,0.6324555320335308,79.6,-2.0,1,300,-0.28819626813408916,0.9575713608048145,0.7818314824680298,0.0,7.28468713581212,300.0,-0.5124905522681903,-0.10909090909090709,1,-1,0.5333733616561821
