ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_lof,score_lof
2026-04-08 02:43:30+00:00,,,0.5,33.5,13.685,1.0,24.0,108.0,0.0,0.0,0.0,0.0,108.0,0.0,1,30,-0.3296906452627879,0.944089020392784,0.7818314824680298,0.0,0.0,0.0,0.0,0.0,1,-1,5.963364485957018
2026-04-08 02:47:00+00:00,,,0.5,33.400000765,16.618,2.0,24.0,80.0,-28.0,-14.0,19.79898987322333,19.79898987322333,94.0,-2.799999999999997,0,0,-0.31316380648374953,0.949699126201877,0.7818314824680298,0.0,19.79898987322333,0.0,-0.7071067811865476,-28.00000000000001,1,-1,2.567646122957967
2026-04-08 02:47:30+00:00,,,0.5,33.400000765,15.64,2.0,24.0,80.0,0.0,-9.333333333333334,16.165807537309522,16.165807537309522,89.33333333333333,0.0,0,0,-0.31316380648374953,0.949699126201877,0.7818314824680298,0.0,16.165807537309522,0.0,-0.5773502691896254,-14.0,1,-1,1.7163560450417044
2026-04-08 02:48:00+00:00,,,0.5,33.400000765,8.798,1.0,24.0,80.0,0.0,-7.0,13.999999999999998,13.999999999999998,87.0,0.0,0,0,-0.3090169943749468,0.9510565162951538,0.7818314824680298,0.0,13.999999999999998,0.0,-0.5000000000000001,-8.399999999999984,1,-1,1.9766274147645375
2026-04-08 02:48:30+00:00,,,0.5,33.299999619999994,16.618,2.0,24.0,80.0,0.0,-5.6,12.52198067399882,12.52198067399882,85.6,0.0,0,0,-0.3090169943749468,0.9510565162951538,0.7818314824680298,0.0,12.52198067399882,0.0,-0.44721359549995754,-5.600000000000004,1,-1,1.653975775359355
2026-04-08 02:51:30+00:00,,,0.5,33.5,16.618,2.0,24.0,80.0,0.0,-2.8,0.0,0.0,80.0,0.0,1,180,-0.2965415749755711,0.9550199444571866,0.7818314824680298,0.0,8.442317648177376,180.0,-0.30151134457776396,-2.329327932885211e-15,1,-1,1.6368347422765943
2026-04-08 03:01:30+00:00,,,0.5,33.400000765,16.618,2.0,23.70000038,78.0,0.0,0.0,0.0,0.0,78.0,0.0,1,780,-0.2546019482055278,0.9670459389139431,0.7818314824680298,-30.0,1.0080138659874054,780.0,-0.339205855325097,1.2618965151044512e-15,1,-1,1.8586583545883493
2026-04-08 03:02:00+00:00,,,0.5,33.400000765,16.618,2.0,23.70000038,78.0,0.0,0.0,0.0,0.0,78.0,0.0,1,810,-0.250380004054441,0.9681476403781079,0.7818314824680298,-2.0,0.9965457582448212,810.0,-0.3334187049145347,1.2618965151044512e-15,1,-1,4.93343841980798
2026-04-08 03:02:30+00:00,,,0.5,33.400000765,16.618,2.0,23.70000038,78.0,0.0,0.0,0.0,0.0,78.0,0.0,1,840,-0.250380004054441,0.9681476403781079,0.7818314824680298,-2.0,0.9802650357070615,840.0,-0.3279188208616708,1.2618965151044512e-15,1,-1,5.253072048304435
2026-04-08 03:03:00+00:00,,,0.5,33.400000765,16.618,2.0,23.70000038,78.0,0.0,0.0,0.0,0.0,78.0,0.0,1,870,-0.24615329302899291,0.9692309097067544,0.7818314824680298,-2.0,0.9589266029707056,870.0,-0.3226831392930886,1.2618965151044512e-15,1,-1,5.55522891688957
